"x(m)","y(m)","Re[Ez]","Im[Ez]"
-0.086,-0.258,-0.003698402234453256,-0.001706662734195355
-0.086,-0.24940000000000004,-0.0038587132588572097,0.004673003536101762
-0.086,-0.2408,0.003005830228010597,0.00400597718400614
-0.086,-0.2322,0.0045106072346671475,-0.0022878253307821376
-0.086,-0.2236,-0.0007317022681857124,-0.002110192098656396
-0.086,-0.21500000000000002,-0.0008737287644632899,0.0002727696035823143
-0.086,-0.20640000000000003,0.0013988384740169994,-0.0026107439663838722
-0.086,-0.1978,-0.0027739088830753137,-0.002085600716459377
-0.086,-0.1892,-0.0043879856111135405,0.004627720028162953
-0.086,-0.18059999999999998,0.0021483384064077678,0.004564819295399691
-0.086,-0.172,0.003748316711219877,-0.002136835879703868
-0.086,-0.16340000000000002,-0.0012576867709872491,-0.0016326333263117188
-0.086,-0.1548,0.000048310851731411376,0.0015056051162256941
-0.086,-0.14620000000000002,0.0033173987938501515,-0.002995435922376167
-0.086,-0.1376,-0.002574431760592465,-0.004917092452146165
-0.086,-0.129,-0.0064590887432411604,0.0019093588083530348
-0.086,-0.12040000000000002,-0.000052168914372946106,0.0037818501938169293
-0.086,-0.1118,0.002345606538696087,-0.0006533140728058449
-0.086,-0.10319999999999997,-0.0026160763956627753,0.002384602342541847
-0.086,-0.09459999999999999,0.0007081747929781021,0.006853408675439575
-0.086,-0.086,0.007565813069974518,0.0006410200594386877
-0.086,-0.07740000000000002,0.0029376163105986116,-0.0031852230774790332
-0.086,-0.06880000000000001,-0.0012553822538769503,0.003731126820713928
-0.086,-0.06019999999999999,0.006548920240860432,0.003896759012788518
-0.086,-0.05159999999999999,0.00828851844295942,-0.006106348092004055
-0.086,-0.04300000000000001,-0.0028197877081312774,-0.005747277646292352
-0.086,-0.034400000000000014,-0.004577671993784792,0.005010532668431408
-0.086,-0.02579999999999999,0.007255257953910061,0.005829331757811078
-0.086,-0.017199999999999965,0.01253107658087815,-0.0025359222650087657
-0.086,-0.008599999999999969,0.009877843534045872,-0.0072475830017260335
-0.086,-2.7755575615628914e-17,0.010599478961024282,-0.0049152712483446544
-0.086,0.008600000000000038,0.007006114317328332,0.0059390677030512935
-0.086,0.017199999999999993,-0.005383094693629037,0.007816615273212755
-0.086,0.02579999999999999,-0.008204641189166953,-0.005170596383109503
-0.086,0.034400000000000014,0.0019564950050087685,-0.007890413253117718
-0.086,0.04299999999999998,0.0026541193507669987,0.0033102772904976046
-0.086,0.05160000000000002,-0.0057030107051336066,0.0020052628694342024
-0.086,0.06019999999999999,-0.002684319513982865,-0.008135774736050084
-0.086,0.06879999999999999,0.0052746102953237905,-0.004161046725868897
-0.086,0.07740000000000001,0.0020627982260790906,0.003558249418194986
-0.086,0.086,-0.001597944708146529,-0.002404406057762811
-0.086,0.09460000000000002,0.004461235811414982,-0.005686615913049563
-0.086,0.10320000000000001,0.005544099217497493,0.0043475011138174174
-0.086,0.11179999999999998,-0.001532134827547392,0.006592451538897826
-0.086,0.12040000000000001,-0.0018989048276897233,-0.0010014971631395978
-0.086,0.129,0.001291406688128816,0.0005828173082160163
-0.086,0.1376,-0.003305602383571572,0.005326287808983471
-0.086,0.1462,-0.005988796460278587,-0.0021227894595212847
-0.086,0.15480000000000002,0.0007690425355265195,-0.0076106535150833755
-0.086,0.16340000000000002,0.00426326593470524,-0.0007580167457793113
-0.086,0.172,0.001027783896762241,0.0021827163740752538
-0.086,0.1806,0.0015543683052281494,-0.002000222342791463
-0.086,0.1892,0.002749819265604082,0.001334675503114007
-0.086,0.19780000000000003,-0.002581194042008048,0.00608669984881809
-0.086,0.20640000000000003,-0.00535207291759818,-0.0005917785741407887
-0.086,0.21499999999999997,0.00039059283229249804,-0.006236710942817674
-0.086,0.22360000000000002,0.0037503162508877672,-0.0007953219830528534
