"k","fa/c"
1.13,0.6533475022195617
1.13,0.788395748837526
1.13,0.8214506451296019
1.13,0.9012986488731589
1.1400000000000001,0.23628144077721683
1.1400000000000001,0.44615739165623075
1.1400000000000001,0.6530295091029881
1.1400000000000001,0.7871933911351832
1.1400000000000001,0.8224900556552693
1.1400000000000001,0.9021544049342726
1.15,0.23501470575139138
1.15,0.4470236312777336
1.15,0.652688779935603
1.15,0.7860034526426488
1.15,0.8235012581100437
1.15,0.9030756391372903
1.16,0.23367334854936045
1.16,0.44793712193436175
1.16,0.6523254980262818
1.16,0.784827293073843
1.16,0.8244825316377411
1.16,0.9040623560718323
1.17,0.23225946897320582
1.17,0.4488958132428651
1.17,0.6519398615104609
1.17,0.7836661010327067
1.17,0.8254324215898461
1.17,0.9051144384809018
1.18,0.23077518639421746
1.18,0.44989763831398816
1.18,0.6515320835858721
1.18,0.7825209243163981
1.18,0.8263497198844094
1.18,0.9062316363377634
1.19,0.2292226278222028
1.19,0.45094052565827436
1.19,0.6511023927070514
1.19,0.7813926914956624
1.19,0.8272334512483281
1.19,0.9074135587915066
1.2,0.22760391708973368
1.2,0.45202240997486065
1.2,0.6506510327315901
1.2,0.7802822277211484
1.2,0.8280828621925505
1.2,0.9086596691879366
1.21,0.22592116517780064
1.21,0.4531412417964972
1.21,0.6501782630117241
1.21,0.7791902666204374
1.21,0.8288974107847491
1.21,0.9099692832407941
1.22,0.22417646168199104
1.22,0.4542949959918601
1.22,0.6496843584253372
1.22,0.7781174594938779
1.22,0.8296767560736557
1.22,0.9113415702936204
1.23,0.22237186739401843
1.23,0.4554816791495182
1.23,0.6491696093417981
1.23,0.7770643826098802
1.23,0.8304207465531941
1.23,0.9127755574864399
1.24,0.2205094079558242
1.24,0.45669933588673195
1.24,0.6486343215182495
1.24,0.7760315431405671
1.24,0.8311294074234108
1.24,0.9142701365300364
1.25,0.21859106852814614
1.25,0.45794605414038414
1.25,0.6480788159236051
1.25,0.7750193841106287
1.25,0.8318029266607253
1.25,0.9158240727019875
1.26,0.21661878940580453
1.26,0.45921996950772975
1.26,0.6475034284882882
1.26,0.7740282886202859
1.26,0.8324416400813087
1.26,0.9174360156185052
1.27,0.21459446250491693
1.27,0.4605192687113108
1.27,0.6469085097789575
1.27,0.7730585835279908
1.27,0.833046015687285
1.27,0.9191045113035654
1.28,0.21251992864362063
1.28,0.46184219226598133
1.28,0.6462944245986688
1.28,0.77211054272651
1.28,0.8336166376398926
1.28,0.9208280150731475
1.29,0.21039697553684855
1.29,0.46318703642705045
1.29,0.6456615515140657
1.29,0.7711843901096722
1.29,0.83415419021771
1.29,0.9226049047730314
1.3,0.20822733642658992
1.3,0.46455215449752885
1.3,0.6450102823123846
1.3,0.7702803023012792
1.3,0.8346594421015725
1.3,0.9244334939496864
1.31,0.20601268927168884
1.31,0.46593595756981504
1.31,0.6443410213921986
1.31,0.7693984111988162
1.31,0.8351332312897101
1.31,0.9263120445886966
1.32,0.2037546564248614
1.32,0.4673369147733441
1.32,0.6436541850928702
1.32,0.768538806371002
1.32,0.8355764508951308
1.32,0.9282387791193648
1.33,0.20145480472951335
1.33,0.46875355309506855
1.33,0.6429502009687097
1.33,0.7677015373378197
1.33,0.8359900360189618
1.33,0.930211891453367
1.34,0.199114645973375
1.34,0.47018445683427895
1.34,0.6422295070147875
1.34,0.7668866157541457
1.34,0.8363749518342408
1.34,0.9322295568914858
1.35,0.1967356376424768
1.35,0.4716282667482328
1.35,0.6414925508520348
1.35,0.7660940175117896
1.35,0.8367321829584082
1.35,0.9342899407731204
1.3599999999999999,0.1943191839230317
1.3599999999999999,0.4730836789385331
1.3599999999999999,0.6407397888800122
1.3599999999999999,0.7653236847711083
1.3599999999999999,0.8370627241425297
1.3599999999999999,0.9363912058292199
1.37,0.19186663690561112
1.37,0.4745494435239305
1.37,0.6399716854064101
1.37,0.7645755279288508
1.37,0.8373675722627285
1.37,0.938531518236852
1.38,0.18937929795005337
1.38,0.4760243631386875
1.38,0.639188711762574
1.38,0.7638494275271234
1.38,0.8376477195654805
1.38,0.9407090523879916
1.3900000000000001,0.18685841917537524
1.3900000000000001,0.47750729129135233
1.3900000000000001,0.6383913454148411
1.3900000000000001,0.7631452361059765
1.3900000000000001,0.8379041480925618
1.3900000000000001,0.9429219944270133
1.4,0.1843052050427419
1.4,0.4789971306134519
1.4,0.637580069081564
1.4,0.7624627800006739
1.4,0.838137825193533
1.4,0.9451685446311535
1.4100000000000001,0.181720814004553
1.4100000000000001,0.480492831023593
1.4100000000000001,0.6367553698659084
1.4100000000000001,0.7618018610838114
1.4100000000000001,0.8383497000227891
1.4100000000000001,0.9474469187164424
1.42,0.17910636019608298
1.42,0.48199338782797047
1.42,0.6359177384144153
1.42,0.7611622584515515
1.42,0.8385407009127654
1.42,0.9497553481574383
1.43,0.176462915149781
1.43,0.48349783977478017
1.43,0.6350676681113037
1.43,0.7605437300529562
1.43,0.8387117335144229
1.43,0.9520920796093358
1.44,0.17379150951548636
1.44,0.4850052670764303
1.44,0.6342056543183421
1.44,0.7599460142611187
1.44,0.8388636795989527
1.44,0.9544553735181913
1.45,0.1710931347725997
1.45,0.4865147894104029
1.45,0.633332193669916
1.45,0.7593688313848206
1.45,0.8389973964201699
1.45,0.9568435019990769
1.46,0.16836874492266146
1.46,0.48802556390674895
1.46,0.632447783432762
1.46,0.7588118851195542
1.46,0.8391137165442112
1.46,0.959254746054422
1.47,0.16561925815292663
1.47,0.48953678312759763
1.47,0.6315529209395883
1.47,0.7582748639370408
