"ky(2π/a)","Frequency(GHz)","Abs[R]","Arg[R]"
-0.245,9.08,0.9827406729242368,-1.2639317280587297
-0.245,9.100000000000001,0.9999375939763432,-1.1203207244880962
-0.245,9.120000000000001,0.999934810064968,-1.0085113275914586
-0.245,9.14,0.9999383185902754,-0.9367667915761745
-0.245,9.16,0.9999451872054259,-0.8824469643842512
-0.245,9.18,0.9999544206932245,-0.8379919000976987
-0.245,9.200000000000001,0.9999655029441754,-0.7998819765513163
-0.245,9.22,0.9999781043893505,-0.7661798211271046
-0.245,9.24,0.9999919820916272,-0.7357024698634635
-0.245,9.26,1.0000069372571665,-0.7076742483164379
-0.245,9.280000000000001,1.0000227947902094,-0.6815592504947098
-0.245,9.3,1.0000393926489826,-0.6569720648682355
-0.245,9.32,1.0000565760551092,-0.6336265367387466
-0.245,9.34,1.000074194315833,-0.6113046123288551
-0.245,9.360000000000001,1.0000920991486004,-0.5898364947884266
-0.245,9.38,1.0001101439166538,-0.5690875142464903
-0.245,9.4,1.000128183440444,-0.5489491587297998
-0.245,9.42,1.0001460741846468,-0.5293327789744896
-0.245,9.440000000000001,1.0001636746953912,-0.5101650655795394
-0.245,9.46,1.000180846205062,-0.4913847327479565
-0.245,9.48,1.0001974533483446,-0.47294004284057767
-0.245,9.5,1.0002133649486564,-0.454786929007142
-0.245,9.520000000000001,1.0002284548449711,-0.43688755105883936
-0.245,9.540000000000001,1.0002426027351707,-0.41920917032664157
-0.245,9.56,1.0002556950170687,-0.4017232628462558
-0.245,9.58,1.0002676256112923,-0.3844048129756963
-0.245,9.600000000000001,1.0002782967526826,-0.36723174526712793
-0.245,9.620000000000001,1.0002876197390838,-0.3501844634409197
-0.245,9.64,1.0002955156255655,-0.3332454731678189
-0.245,9.66,1.0003019158585307,-0.3163990710355208
-0.245,9.68,1.0003067628384976,-0.29963108623276896
-0.245,9.700000000000001,1.0003100104068423,-0.28292866455173793
-0.245,9.72,1.0003116242499273,-0.26628008661129027
-0.245,9.74,1.000311582215731,-0.24967461393949247
-0.245,9.76,1.000309874538997,-0.23310235788034472
-0.245,9.780000000000001,1.000306503971624,-0.21655416730765775
-0.245,9.8,1.000301485816149,-0.20002153192193636
-0.245,9.82,1.000294847860689,-0.18349649852230887
-0.245,9.84,1.0002866302150915,-0.16697159813302825
-0.245,9.860000000000001,1.0002768850482469,-0.15043978224918447
-0.245,9.88,1.000265676228192,-0.13389436677231173
-0.245,9.9,1.0002530788665875,-0.11732898245332538
-0.245,9.92,1.0002391787707439,-0.10073753085708281
-0.245,9.940000000000001,1.0002240718067,-0.08411414502328467
-0.245,9.96,1.0002078631777875,-0.06745315412736498
-0.245,9.98,1.000190666623853,-0.05074905155039729
-0.245,10.,1.0001726035469487,-0.03399646585220189
-0.245,10.020000000000001,1.0001538020699972,-0.01719013421155288
-0.245,10.040000000000001,1.0001343960355153,-0.00032487795243266437
-0.245,10.06,1.0001145239519371,0.01660442017889657
-0.245,10.08,1.0000943278958145,0.033602837286839035
-0.245,10.100000000000001,1.0000739523781985,0.05067543042372356
-0.245,10.120000000000003,1.0000535431842283,0.06782725576454797
-0.245,10.14,1.000033246195065,0.08506338710268518
-0.245,10.16,1.0000132062015592,0.10238893390197097
-0.245,10.180000000000001,0.9999935657191499,0.11980905914273376
-0.245,10.200000000000001,0.9999744638137819,0.13732899720791664
-0.245,10.22,0.9999560349483405,0.15495407207143627
-0.245,10.24,0.9999384078593156,0.17268971607671554
-0.245,10.26,0.9999217044732076,0.1905414896306778
-0.245,10.280000000000001,0.9999060388719133,0.20851510218899078
-0.245,10.3,0.999891516316435,0.22661643497736197
-0.245,10.32,0.9998782323374648,0.24485156598440996
-0.245,10.34,0.9998662719015337,0.2632267978841355
-0.245,10.360000000000001,0.9998557086608384,0.2817486897060455
-0.245,10.38,0.9998466042944618,0.3004240932882487
-0.245,10.4,0.9998390079484554,0.3192601958376556
-0.245,10.42,0.9998329557814799,0.33826457031618357
-0.245,10.440000000000001,0.9998284706229011,0.35744523590863225
-0.245,10.46,0.999825561749365,0.3768107315751448
-0.245,10.48,0.9998242247859402,0.3963702067349737
-0.245,10.5,0.9998244417379354,0.4161335346123763
-0.245,10.520000000000001,0.9998261811595102,0.43611145591710726
-0.245,10.540000000000001,0.9998293984660944,0.4563157636699212
-0.245,10.56,0.9998340363986742,0.4767595446710702
-0.245,10.58,0.999840025650539,0.49745750025276253
-0.245,10.600000000000001,0.9998472856707041,0.5184263800901396
-0.245,10.620000000000003,0.9998557256647562,0.5396855806437639
-0.245,10.64,0.9998652458243046,0.5612579890869498
-0.245,10.66,0.9998757388332633,0.5831712033329807
-0.245,10.680000000000001,0.9998870917282817,0.6054593465840481
-0.245,10.700000000000001,0.9998991882383732,0.6281658566805896
-0.245,10.72,0.9999119118086549,0.6513479447033912
-0.245,10.74,0.9999251496337977,0.6750840661851853
-0.245,10.76,0.9999387981394458,0.6994871948561241
-0.245,10.780000000000001,0.9999527699690558,0.724730240115318
