"r/a","fa/c"
0.22142857142857145,0.4968016067502837
0.22142857142857145,0.605334488950208
0.21985815602836883,0.49942717810880194
0.21985815602836883,0.6042354643734231
0.21830985915492962,0.5020508199166215
0.21830985915492962,0.6031585960667405
0.2167832167832168,0.5046795115596256
0.2167832167832168,0.6021058576135682
0.2152777777777778,0.507309231342923
0.2152777777777778,0.6010769070132312
0.21379310344827587,0.5099411724669545
0.21379310344827587,0.6000715475728495
0.2123287671232877,0.5125743302279228
0.2123287671232877,0.5990899663167871
0.21088435374149664,0.5152095214710674
0.21088435374149664,0.5981320921377082
0.20945945945945948,0.5178466748958996
0.20945945945945948,0.5971979850485083
0.20805369127516782,0.5204825536190723
0.20805369127516782,0.596287151889947
0.2066666666666667,0.5231212249891781
0.2066666666666667,0.5954001675481722
0.20529801324503313,0.5257579587291056
0.20529801324503313,0.5945360531582342
0.20394736842105265,0.5283968829162204
0.20394736842105265,0.5936950777105111
0.20261437908496732,0.5310374717788884
0.20261437908496732,0.5928776792181714
0.2012987012987013,0.5336768898903634
0.2012987012987013,0.5920824567665433
0.2,0.536316893441143
0.2,0.5913100797910875
0.19871794871794876,0.5389567323217356
0.19871794871794876,0.5905597426498417
0.1974522292993631,0.5415967420143579
0.1974522292993631,0.5898316506892651
0.1962025316455696,0.5442342723673091
0.1962025316455696,0.5891249897249022
0.1949685534591195,0.5468750145020188
0.1949685534591195,0.5884405293732692
0.19375,0.5495129538186059
0.19375,0.5877769164284471
0.19254658385093165,0.5521516329126358
0.19254658385093165,0.5871341503636377
0.19135802469135804,0.5547882279260258
0.19135802469135804,0.5865122400394535
0.19018404907975459,0.5574252718477837
0.19018404907975459,0.585910918684804
0.1890243902439025,0.5600608135278041
0.1890243902439025,0.5853291673502226
0.1878787878787879,0.5626964285100782
0.1878787878787879,0.5847681364784552
0.18674698795180725,0.5653269149241998
0.18674698795180725,0.5842252890848556
0.18562874251497008,0.5679592051918169
0.18562874251497008,0.583702392383757
0.1845238095238095,0.5705894422367007
0.1845238095238095,0.5831983953684305
0.18343195266272194,0.5732194501500147
0.18343195266272194,0.5827132041275566
0.1823529411764706,0.5758462669315179
0.1823529411764706,0.5822460918820571
0.18128654970760236,0.5784727810224023
0.18128654970760236,0.5817970286604822
0.1802325581395349,0.5810968293577018
0.1802325581395349,0.5813658885525687
0.17919075144508673,0.5809518619953052
0.17919075144508673,0.5837176959362432
0.17816091954022992,0.5805556176070397
0.17816091954022992,0.58633920775305
0.17714285714285716,0.5801757523242831
0.17714285714285716,0.5889579350203775
0.17613636363636365,0.5798129023604724
0.17613636363636365,0.5915744919103788
0.17514124293785313,0.5794659528435532
0.17514124293785313,0.594187660006986
0.17415730337078653,0.57913536165251
0.17415730337078653,0.5967997051564676
0.17318435754189945,0.5788208483900815
0.17318435754189945,0.5994078076122861
0.17222222222222222,0.5785214971391771
0.17222222222222222,0.602016292328211
0.1712707182320442,0.5782380250462558
0.1712707182320442,0.60462147679097
0.17032967032967034,0.5779689307018137
0.17032967032967034,0.6072218343832944
0.16939890710382516,0.5777148120042743
0.16939890710382516,0.609820319807356
0.16847826086956524,0.5774746904777308
0.16847826086956524,0.6124142452438044
0.1675675675675676,0.5772495254453625
0.1675675675675676,0.6150069864491441
0.16666666666666666,0.5770387206094206
0.16666666666666666,0.6175985994348356
0.1657754010695187,0.5768410572510642
0.1657754010695187,0.6201837623425503
0.1648936170212766,0.5766567949639773
0.1648936170212766,0.6227648911578617
0.16402116402116404,0.5764862860094344
0.16402116402116404,0.6253448072083473
0.1631578947368421,0.5763283370037819
0.1631578947368421,0.6279184650003248
0.16230366492146597,0.576184236420753
0.16230366492146597,0.6304951755451679
0.16145833333333337,0.5760526658851255
0.16145833333333337,0.6330653247819804
0.1606217616580311,0.5759336998395586
0.1606217616580311,0.6356323830440676
0.1597938144329897,0.5758260884092806
0.1597938144329897,0.6381931867306107
0.158974358974359,0.575731201628951
0.158974358974359,0.6407516191950906
0.15816326530612243,0.5756480139251606
0.15816326530612243,0.6433061421361174
0.15736040609137059,0.5755765184615335
0.15736040609137059,0.6458561627127676
0.15656565656565657,0.5755159749864681
0.15656565656565657,0.648402257217536
0.15577889447236185,0.575467406165401
0.15577889447236185,0.6509445262202356
0.15500000000000003,0.5754287218926547
0.15500000000000003,0.6534789179228306
