"Frequency(GHz)","y(m)","Re(Ez)","Im(Ez)"
8.,-0.258,0.004418350096091461,0.0008719146185083619
8.,-0.2494,0.0025899137386118866,0.00047554361592749963
8.,-0.24080000000000001,-0.0010699810423881295,-0.001320600122872178
8.,-0.23220000000000002,-0.0006571550891992334,-0.001251247621831725
8.,-0.22360000000000002,-0.00002052063285391074,-6.574514498044648e-6
8.,-0.21500000000000002,0.00009119107716023529,0.00006195278420988047
8.,-0.2064,0.0017639308862438504,0.0011500454542995185
8.,-0.1978,0.0009074664836195983,0.0017239002194753272
8.,-0.1892,-0.0015743063116952507,-0.000908661452553423
8.,-0.1806,0.00004836549147679154,-0.0027312518012139065
8.,-0.17200000000000001,0.0023784823199794907,-0.0007293291010545105
8.,-0.1634,-0.00027985748213293384,0.0008978493836998578
8.,-0.1548,-0.0019715035896260688,0.0004925072224765079
8.,-0.1462,0.0003950961463305844,0.0004280561653378228
8.,-0.1376,0.0008486746947592008,0.0012627955705003789
8.,-0.129,-0.0004323509399260931,0.0014042175748953665
8.,-0.12040000000000001,0.0002118904916461584,0.000571050907165858
8.,-0.11180000000000001,0.00001000099649324977,-0.0018918435656705714
8.,-0.10320000000000001,-0.000057525563342048556,-0.0021798410881443122
8.,-0.09460000000000002,0.0015678561011986402,0.002802582311874925
8.,-0.08600000000000002,-0.0002973640139592775,0.004432045519091836
8.,-0.0774,-0.004755199534029633,-0.00201149000772173
8.,-0.0688,-0.0015605495764778536,-0.005561929830863996
8.,-0.060200000000000004,0.00479515620962514,-0.0009909063458235917
8.,-0.05160000000000001,0.0009649927283897197,0.001443442663965204
8.,-0.04300000000000001,-0.004717824378157021,-0.001977905551958263
8.,-0.034400000000000014,0.0003725525131362954,-0.002901842700863682
8.,-0.025800000000000017,0.0033796926776897152,0.0009794278773194705
8.,-0.017199999999999993,-0.003992531114459921,0.0035441330565554995
8.,-0.008599999999999997,-0.011441942815853878,0.006242780969946793
8.,0.,0.009832626775113212,0.01647209639546001
8.,0.008599999999999997,0.006078748861629706,0.001231198208915019
8.,0.017199999999999993,-0.0008645452137853594,-0.012795526236279648
8.,0.02579999999999999,-0.007730841345754176,-0.00462834532580249
8.,0.034399999999999986,-0.005824073704457414,0.004831864964529503
8.,0.04299999999999998,0.004736479474328422,0.0014825736195432427
8.,0.05159999999999998,0.003385130534384655,-0.003708712149463296
8.,0.060199999999999976,-0.005664269647974928,-0.0011583073750650074
8.,0.06879999999999997,-0.0033724850968424726,0.002314638808966838
8.,0.07739999999999997,0.005077689314770974,0.0014314789885851182
8.,0.08599999999999997,0.0030799999882141155,-0.0010545808476361816
8.,0.09460000000000002,-0.0044151903631981645,-0.0028358112700287465
8.,0.10320000000000001,-0.0042845441387485035,-0.000460778781646726
8.,0.11180000000000001,0.0013609084436625035,0.003450004673383516
8.,0.12040000000000001,0.003617431229004748,0.002512782486472159
8.,0.129,0.0008960336928608569,-0.0019973078504221965
8.,0.1376,-0.0021668679787434646,-0.0028292725922215785
8.,0.1462,-0.0022835761766776034,0.0002936554268364545
8.,0.1548,0.0013815864337979743,0.002176937316861787
8.,0.1634,0.0033487355945173796,-0.0005948035310187154
8.,0.172,-0.0002064960589801333,-0.0029705113297251824
8.,0.18059999999999998,-0.004422805979024628,-0.0006675490108628764
8.,0.18919999999999998,-0.0009962247181148163,0.0026928818900050287
8.,0.19779999999999998,0.0053630921282377805,0.001842764918955739
8.,0.20639999999999997,0.003253443936707512,-0.0016965704652625328
8.,0.21499999999999997,-0.004386734493619429,-0.0022340133597159827
8.,0.22360000000000002,-0.004662489542393419,0.0010710190630759137
8.,0.23220000000000002,0.002037671847595726,0.0019505622907038426
8.,0.24080000000000001,0.004978659419491426,-0.0011046711964694746
8.,0.24939999999999996,0.0003539628130822504,-0.002107816371474256
8.,0.258,-0.003340857553952857,0.00045899174480172513
8.02,-0.258,-0.004248346364627906,-0.003068493302999512
8.02,-0.2494,-0.0025128334326450746,-0.0013121798184247352
8.02,-0.24080000000000001,0.0005735240488342091,0.002490413926520813
8.02,-0.23220000000000002,0.00035335778870017114,0.0015149765947911292
8.02,-0.22360000000000002,0.00036471426113749485,-0.00042193149048978465
8.02,-0.21500000000000002,2.674929926022816e-6,-0.00004662663381352837
8.02,-0.2064,-0.0014189472824922755,-0.0019388087233937717
8.02,-0.1978,-0.00024355275563414932,-0.0021842835913916977
8.02,-0.1892,0.0012084481194986325,0.002078200476994512
8.02,-0.1806,-0.001255974649568118,0.00311958745101692
8.02,-0.17200000000000001,-0.0026648994432303535,-0.0005761506906795759
8.02,-0.1634,0.0009110359270134518,-0.0008611047716687791
8.02,-0.1548,0.0025877992174533847,0.0005783968643134666
8.02,-0.1462,0.000017888248418143216,-0.0009113244540604245
8.02,-0.1376,-0.00014801611290317317,-0.002060159593628861
8.02,-0.129,0.0009140838993341907,-0.0010191498346062767
8.02,-0.12040000000000001,-0.00029267913872667317,-0.000449460270847394
8.02,-0.11180000000000001,-0.0010580820200685422,0.001561985103388529
8.02,-0.10320000000000001,-0.000965714157479527,0.0019127137131425623
8.02,-0.09460000000000002,-0.000016339629974840432,-0.0037020239410479622
8.02,-0.08600000000000002,0.002510730094772016,-0.004041433000818659
8.02,-0.0774,0.0033749843124126814,0.005017381556934683
8.02,-0.0688,-0.001704869405696547,0.0065136925458314275
8.02,-0.060200000000000004,-0.005279255715968953,-0.0018728902109598246
8.02,-0.05160000000000001,-0.00016987921935129942,-0.001882580809349918
8.02,-0.04300000000000001,0.0033621597936903244,0.004979971572618887
8.02,-0.034400000000000014,-0.0023412341819009927,0.0025690091758299323
8.02,-0.025800000000000017,-0.00303553271613016,-0.0028885526119154306
8.02,-0.017199999999999993,0.00584497022023038,-0.00008782494816409393
8.02,-0.008599999999999997,0.01496422149026658,0.0023239397905806115
8.02,0.,0.0010950798887456124,-0.02151424812646877
8.02,0.008599999999999997,-0.005399756750036125,-0.004961668666168601
8.02,0.017199999999999993,-0.00737982252034467,0.013287587438215172
8.02,0.02579999999999999,0.004561297887175349,0.009587687121743686
8.02,0.034399999999999986,0.008809147239024434,-0.001089782827534086
8.02,0.04299999999999998,-0.0035763516686947903,-0.004399261977232543
8.02,0.05159999999999998,-0.005754204755543178,0.0015148731643884466
8.02,0.060199999999999976,0.004468973386393146,0.00440515696497977
8.02,0.06879999999999997,0.004794303684144961,-0.00010621023770832202
8.02,0.07739999999999997,-0.003812599440035893,-0.004105088989381107
8.02,0.08599999999999997,-0.0036618527568217634,-0.0009179691786529939
8.02,0.09460000000000002,0.0026543054049789146,0.004876318129849582
8.02,0.10320000000000001,0.004285258455738477,0.0028326835513205286
8.02,0.11180000000000001,0.0008939209011374094,-0.003863297122848524
8.02,0.12040000000000001,-0.002347393091773814,-0.004268488180795699
8.02,0.129,-0.0023756882049837708,0.0013210213267018025
8.02,0.1376,0.0008230995431331125,0.0037215641056005016
8.02,0.1462,0.0030857650453979912,0.0009466263120154294
8.02,0.1548,-0.00006901434752725436,-0.002821686130797575
8.02,0.1634,-0.0038217287824634685,-0.001132019899511619
8.02,0.172,-0.0012559117846440168,0.003061485919548264
8.02,0.18059999999999998,0.004365272966361641,0.0026771224419425126
8.02,0.18919999999999998,0.0024199104130294548,-0.0022237025260838316
8.02,0.19779999999999998,-0.004641733921763146,-0.004117188757836266
8.02,0.20639999999999997,-0.004054937147092123,0.00026024813454161557
8.02,0.21499999999999997,0.003639606360428055,0.00402869046459661
8.02,0.22360000000000002,0.005431223784981575,0.0009076899800870414
8.02,0.23220000000000002,-0.0010631944896036605,-0.0027742384644035946
8.02,0.24080000000000001,-0.0055153457756574285,-0.0007939608396752044
8.02,0.24939999999999996,-0.0013842800493795379,0.0021806641487835273
8.02,0.258,0.0034865696242923926,0.0009371075450883979
8.04,-0.258,0.0029052762173628647,0.00423390504456887
8.04,-0.2494,0.0017491749668036914,0.0016865817377190184
8.04,-0.24080000000000001,-0.00002685136602534128,-0.0027900507946169322
8.04,-0.23220000000000002,-0.00012890975679270372,-0.0010968205739790105
8.04,-0.22360000000000002,-0.0005890413066966893,0.000726001169441246
8.04,-0.21500000000000002,-0.00007083692177638008,-0.00017421740193576248
8.04,-0.2064,0.000801842787986629,0.0019203365287766175
8.04,-0.1978,-0.0003721850224063712,0.001989536808303975
8.04,-0.1892,-0.00045660163340074635,-0.002471821392814572
8.04,-0.1806,0.0019321852598155088,-0.002626722751005838
8.04,-0.17200000000000001,0.002090041872230758,0.0014275285752734157
8.04,-0.1634,-0.0012033880344114196,0.0005127930252406134
8.04,-0.1548,-0.0022345368455274624,-0.0013064710940469278
8.04,-0.1462,-0.00015523638306625087,0.001149596131809997
8.04,-0.1376,-0.00014995661923981028,0.0021149805428055755
8.04,-0.129,-0.0009062007374126536,0.00024644538646272676
8.04,-0.12040000000000001,0.00017953556239259499,0.00012644393020376513
