"ky(2π/a)","Frequency(GHz)","Abs[R]","Arg[R]"
-0.23333333333333323,8.,0.25671188019498764,-0.9221705505004661
-0.19999999999999998,8.,0.3748871562296011,-0.961274020284492
-0.1666666666666668,8.,0.4992424157837445,-0.8659527765147219
-0.13333333333333347,8.,0.6039351780334219,-0.7811496404886343
-0.09999999999999999,8.,0.6517200644180308,-0.7346824254556786
-0.06666666666666665,8.,0.6829320429763444,-0.6952441539553723
-0.033333333333333326,8.,0.7635602586615526,-0.6522337524114277
-7.780343540788976e-17,8.,0.8245651632190486,-0.6519201774382033
0.033333333333333326,8.,0.8536007910884735,-0.6209960631325123
0.06666666666666658,8.,0.8382391999466909,-0.5641082207009768
0.09999999999999983,8.,0.7589735327488777,-0.5189666449836186
0.1333333333333334,8.,0.6876976138039377,-0.5754649976699497
0.16666666666666657,8.,0.5949551542655265,-0.633058519589186
0.20000000000000004,8.,0.5002347806790688,-0.7402021960463175
0.2333333333333333,8.,0.3720051905650764,-0.6237327204149199
-0.23333333333333323,8.020000000000001,0.26096054724730844,-0.91101841824247
-0.19999999999999998,8.020000000000001,0.37422305171037346,-0.9565292280250957
-0.1666666666666668,8.020000000000001,0.5004707005590603,-0.8511381333405702
-0.13333333333333347,8.020000000000001,0.603870222927175,-0.7651089299726788
-0.09999999999999999,8.020000000000001,0.6531502945871137,-0.7210193992092625
-0.06666666666666665,8.020000000000001,0.6824171182366394,-0.6897396698674557
-0.033333333333333326,8.020000000000001,0.7647785177514146,-0.645735852294927
-7.780343540788976e-17,8.020000000000001,0.8268583024178209,-0.6448112369699982
0.033333333333333326,8.020000000000001,0.8552139063927705,-0.608781010936668
0.06666666666666658,8.020000000000001,0.8400235863289566,-0.549105253211548
0.09999999999999983,8.020000000000001,0.7555617056509779,-0.4970195278354873
0.1333333333333334,8.020000000000001,0.6855820376197559,-0.5515334435387484
0.16666666666666657,8.020000000000001,0.592019817766144,-0.6097469345265067
0.20000000000000004,8.020000000000001,0.5014158789325399,-0.7162309747991124
0.2333333333333333,8.020000000000001,0.37212557382650624,-0.6062986924585025
-0.23333333333333323,8.04,0.26275048692076863,-0.8936455400340273
-0.19999999999999998,8.04,0.3725501794951818,-0.9451636987128719
-0.1666666666666668,8.04,0.49870256244297817,-0.8342310238233462
-0.13333333333333347,8.04,0.599193986848359,-0.747784977196316
-0.09999999999999999,8.04,0.6519088885368938,-0.7046978695900288
-0.06666666666666665,8.04,0.6843038763250262,-0.6914471151206527
-0.033333333333333326,8.04,0.7694608351830466,-0.634024662719077
-7.780343540788976e-17,8.04,0.8351384592380291,-0.6289701565093792
0.033333333333333326,8.04,0.8604017885039545,-0.5968112341171341
0.06666666666666658,8.04,0.8430537409484584,-0.5345534336861927
0.09999999999999983,8.04,0.7542987268399255,-0.4861812920877611
0.1333333333333334,8.04,0.6869367180734238,-0.5400345428578441
0.16666666666666657,8.04,0.592892675917864,-0.5889041630011855
0.20000000000000004,8.04,0.5009000423766422,-0.6914282177659749
0.2333333333333333,8.04,0.3755444222287679,-0.59565536343041
-0.23333333333333323,8.060000000000002,0.26357449095036267,-0.8791084903156225
-0.19999999999999998,8.060000000000002,0.3741920325156108,-0.9407808376731899
-0.1666666666666668,8.060000000000002,0.4980323718779184,-0.8232195207356653
-0.13333333333333347,8.060000000000002,0.5952084703202214,-0.7367474412607876
-0.09999999999999999,8.060000000000002,0.6474339410426032,-0.6923422446751047
-0.06666666666666665,8.060000000000002,0.6860147185602568,-0.685140514534465
-0.033333333333333326,8.060000000000002,0.7739789164827966,-0.6239197548095857
-7.780343540788976e-17,8.060000000000002,0.8471573346943183,-0.6185546485776856
0.033333333333333326,8.060000000000002,0.8722971858970223,-0.5891690755989832
0.06666666666666658,8.060000000000002,0.8478440646168413,-0.5248859922815977
0.09999999999999983,8.060000000000002,0.7553495929435904,-0.47591402792511844
0.1333333333333334,8.060000000000002,0.6917847341778257,-0.5188803791014464
0.16666666666666657,8.060000000000002,0.5935122777275242,-0.5569907019720327
0.20000000000000004,8.060000000000002,0.49840385361936296,-0.6590657520731308
0.2333333333333333,8.060000000000002,0.3761498751617312,-0.5744489886556995
-0.23333333333333323,8.08,0.26419579264942333,-0.8677531533417157
-0.19999999999999998,8.08,0.37350786665456737,-0.9355853825506067
-0.1666666666666668,8.08,0.49826387467675703,-0.8079613281360084
-0.13333333333333347,8.08,0.5941300817375892,-0.7343277189717261
-0.09999999999999999,8.08,0.645565995487444,-0.6898767663175472
-0.06666666666666665,8.08,0.6944107125463079,-0.6791078298177604
-0.033333333333333326,8.08,0.7837817496961278,-0.6122741215387093
-7.780343540788976e-17,8.08,0.8605973878626818,-0.5998102841141781
0.033333333333333326,8.08,0.885804403198823,-0.5691161702171269
0.06666666666666658,8.08,0.8518143810923208,-0.5056281441487579
0.09999999999999983,8.08,0.7570009200504718,-0.46148756856019924
0.1333333333333334,8.08,0.6949524265955913,-0.49950395255904206
0.16666666666666657,8.08,0.5915110760035328,-0.5341589018672166
0.20000000000000004,8.08,0.4983534131462343,-0.6394093211280553
0.2333333333333333,8.08,0.38206658882576916,-0.554180871951515
-0.23333333333333323,8.1,0.26453203540387926,-0.8680939553490664
-0.19999999999999998,8.1,0.3672253110986789,-0.9362196296231122
-0.1666666666666668,8.1,0.4944245449877187,-0.7822557330689276
-0.13333333333333347,8.1,0.5995915973271946,-0.7227106761168884
-0.09999999999999999,8.1,0.6685590136249752,-0.7168489112855564
-0.06666666666666665,8.1,0.704851421481641,-0.6678956324202866
-0.033333333333333326,8.1,0.7957935220074223,-0.5939709900088413
-7.780343540788976e-17,8.1,0.8713177313815779,-0.5761132574376642
0.033333333333333326,8.1,0.8955818209870264,-0.5455716329687028
0.06666666666666658,8.1,0.8623676829624717,-0.4890527620969991
0.09999999999999983,8.1,0.7626217260961092,-0.4809043197005706
0.1333333333333334,8.1,0.6979426084998438,-0.48030637777982116
0.16666666666666657,8.1,0.5892389243194971,-0.5197702210028596
0.20000000000000004,8.1,0.4989223715650642,-0.6223588655667646
0.2333333333333333,8.1,0.3845504808607655,-0.5314197709466023
-0.23333333333333323,8.12,0.26583100260435083,-0.8454193929088025
-0.19999999999999998,8.12,0.37072335043709254,-0.9430444146432492
-0.1666666666666668,8.12,0.4890302901427751,-0.772892159966684
-0.13333333333333347,8.12,0.5993348203697226,-0.7096004783974633
-0.09999999999999999,8.12,0.6749701174087992,-0.7116897112440319
-0.06666666666666665,8.12,0.7127901824875874,-0.6627832559560856
-0.033333333333333326,8.12,0.8057567380578369,-0.5843042757556541
-7.780343540788976e-17,8.12,0.8848701981793983,-0.5612282556138596
0.033333333333333326,8.12,0.9072129828945442,-0.5277673791165463
0.06666666666666658,8.12,0.8714049593062814,-0.47279408536062234
0.09999999999999983,8.12,0.7732428523440693,-0.46601948479907024
0.1333333333333334,8.12,0.702477281700457,-0.460125712227384
0.16666666666666657,8.12,0.5896815972607033,-0.5014923650256352
0.20000000000000004,8.12,0.49851021240727744,-0.6028414190260519
0.2333333333333333,8.12,0.3871040064030183,-0.5170044567402324
-0.23333333333333323,8.140000000000002,0.2625617643516456,-0.845442627749294
-0.19999999999999998,8.140000000000002,0.37194388390100824,-0.9432051937925094
-0.1666666666666668,8.140000000000002,0.4817674657388798,-0.7667130708837977
-0.13333333333333347,8.140000000000002,0.5933946682120986,-0.69681313833873
-0.09999999999999999,8.140000000000002,0.6792544349881477,-0.6939881145927755
-0.06666666666666665,8.140000000000002,0.7251173158006862,-0.6394176926495792
-0.033333333333333326,8.140000000000002,0.8190290518189902,-0.5573938352535789
-7.780343540788976e-17,8.140000000000002,0.8950796419054283,-0.5324444670733914
0.033333333333333326,8.140000000000002,0.9179345349590886,-0.4997117472428954
0.06666666666666658,8.140000000000002,0.884339242077466,-0.449348909009121
0.09999999999999983,8.140000000000002,0.7873107108309866,-0.44739028985874657
0.1333333333333334,8.140000000000002,0.7108392796588917,-0.43799152878008324
0.16666666666666657,8.140000000000002,0.5899783369626556,-0.47936479852112024
0.20000000000000004,8.140000000000002,0.497697289140663,-0.5841169590440513
0.2333333333333333,8.140000000000002,0.3922373765559877,-0.5033261823595415
-0.23333333333333323,8.16,0.2667241564756544,-0.8349503968535468
-0.19999999999999998,8.16,0.37695064733466777,-0.961042192544798
-0.1666666666666668,8.16,0.4759268014174664,-0.767991271166989
-0.13333333333333347,8.16,0.5942640471379853,-0.6870503779885208
-0.09999999999999999,8.16,0.6834349807799872,-0.680516221583669
-0.06666666666666665,8.16,0.7301218507406259,-0.6202908779082564
-0.033333333333333326,8.16,0.8235247214598994,-0.5280735618092733
-7.780343540788976e-17,8.16,0.9017297332831072,-0.5047045002572803
0.033333333333333326,8.16,0.9239589649500811,-0.47465470516640457
0.06666666666666658,8.16,0.8879352044311066,-0.4249947855716186
