"Frequency(GHz)","y(m)","Re(Ez)","Im(Ez)"
2.,-0.276,0.0005556517241572434,0.0000795483244957601
2.,-0.26680000000000004,0.000514190546653955,-0.00003586746898941911
2.,-0.25760000000000005,0.0004637237410109279,-0.00010150482861337123
2.,-0.2484,0.0003472542244603925,-0.0001511827330200487
2.,-0.23920000000000002,0.00019448760060766446,-0.00012829956058332237
2.,-0.23000000000000004,0.00011137061981146974,-0.00006262802109925769
2.,-0.22080000000000002,0.000037903418658613195,0.00002010675094787551
2.,-0.2116,0.000012412004016881141,0.00016691113965306488
2.,-0.20240000000000002,-0.000053974058580175916,0.00015788410947712166
2.,-0.19320000000000004,-0.000026275385369770642,0.00019325494874043988
2.,-0.18400000000000002,0.000012437251076581023,0.00009204614151836069
2.,-0.1748,0.00006918764630668272,0.00006244340733040897
2.,-0.16560000000000002,0.00011519706081311274,7.25036585421771e-6
2.,-0.15640000000000004,0.00008820065087696086,-0.000021729874111012744
2.,-0.14720000000000003,0.00007240839556671513,-0.00005465044294618399
2.,-0.138,-0.00007805734868697731,4.300044935769936e-6
2.,-0.12880000000000003,-0.0002471090203027095,0.00005865520190089787
2.,-0.11960000000000004,-0.0004484800795436827,0.00010282194176581202
2.,-0.11040000000000003,-0.0006559019800040032,0.00010330855129575791
2.,-0.10120000000000001,-0.0008701513126205308,0.00010999546772829904
2.,-0.09200000000000003,-0.0009876494232468457,-0.000023918287588636882
2.,-0.08280000000000004,-0.0009837401475687503,-0.00014287960633139208
2.,-0.07360000000000003,-0.0008129648983254369,-0.0002908568584917881
2.,-0.06440000000000001,-0.0005414437396528694,-0.00033265717742251666
2.,-0.05520000000000003,-0.0002833811813509713,-0.000347087735734249
2.,-0.04600000000000004,-0.00005277308094995827,-0.00025081216546062746
2.,-0.03680000000000003,0.00008837184060649741,-0.00012542401160790473
2.,-0.027600000000000013,0.00009780029550140059,0.00004414545734091699
2.,-0.018400000000000027,-0.00012594605546403364,0.00018326243078451882
2.,-0.009200000000000041,-0.0003690449402996705,0.00013694650511865078
2.,0.,0.0006357726463240835,-0.0004125505704893302
2.,0.009199999999999986,0.0010823012503797275,-0.0007556613020569986
2.,0.018399999999999972,0.000542318549607854,-0.0006981477207921212
2.,0.027599999999999958,-0.00006876796769566709,-0.0006126234246745774
2.,0.036799999999999944,-0.0005318277178448125,-0.00040022823305206563
2.,0.045999999999999985,-0.0008536256412585954,-0.00020285589710395893
2.,0.05519999999999997,-0.0007436535812080664,-0.00004643642493148723
2.,0.06439999999999996,-0.0005719357833905266,0.00008512538618687489
2.,0.0736,-0.0003424530009679412,0.0001621384554541311
2.,0.08279999999999998,-0.00005467487659126663,0.0001701723992594856
2.,0.09199999999999997,0.00018717342121345597,0.00006791242272405098
2.,0.10119999999999996,0.0003629889815492964,-0.00005665688598753543
2.,0.11039999999999994,0.00032161436640253994,-0.00006203193602889403
2.,0.11959999999999998,0.0002542009007160555,-0.00010669381393101517
2.,0.12879999999999997,0.00007134253535805724,-0.00006053652275027326
2.,0.13799999999999996,-0.00007386424989381394,6.7836603418955035e-6
2.,0.1472,-0.00025071113315808095,0.00009828506831961307
2.,0.15639999999999998,-0.00033258398678320843,0.00022505280727950643
2.,0.16559999999999997,-0.0002731944013613932,0.00023258658243499337
2.,0.17479999999999996,-0.00012712809325974986,0.0003170684846040999
2.,0.18399999999999994,0.00011115456135724256,0.00027574107908231413
2.,0.19319999999999998,0.000371540058307212,0.00019418872933842866
2.,0.20239999999999997,0.0004975892870538742,-4.54021026134701e-6
2.,0.21159999999999995,0.0005429616075044944,-0.00019792084497630692
2.,0.2208,0.00046136521121445655,-0.00033847155379742016
2.,0.22999999999999998,0.0002495155652514527,-0.0005090470811204481
2.,0.23919999999999997,-0.0000372922463740572,-0.0005598433204177546
2.,0.24839999999999995,-0.00026157448833297154,-0.0005247010895951562
2.,0.25759999999999994,-0.0004450679319634048,-0.0005103729191119157
2.,0.2667999999999999,-0.0005948166004542724,-0.0003725162901042347
2.,0.276,-0.0006074178621768291,-0.00021374774326184289
2.04,-0.276,0.0002447342307248074,0.0003885707738270298
2.04,-0.26680000000000004,0.00021095542965578087,0.0003141202021324717
2.04,-0.25760000000000005,0.00023904275243419708,0.0002041017168905817
2.04,-0.2484,0.0002108476691855254,0.00014525750238466602
2.04,-0.23920000000000002,0.00015199384012027134,0.00005128863384311765
2.04,-0.23000000000000004,0.000014099103134429257,0.00005203802698454974
2.04,-0.22080000000000002,-0.00007679807723670345,0.0000353591211875427
2.04,-0.2116,-0.00009499218031715039,0.000014795424456364411
2.04,-0.20240000000000002,-0.0001471796022269924,0.00003678145081837167
2.04,-0.19320000000000004,-0.0001391405893465624,0.000010589865215916876
2.04,-0.18400000000000002,-0.0001053887122312173,0.00003341093680586745
2.04,-0.1748,-0.00011068912207297865,0.000044763832037854296
2.04,-0.16560000000000002,-0.0001307310384112522,0.00004365722368538448
2.04,-0.15640000000000004,-0.00013540830038187443,0.000060756132066582956
2.04,-0.14720000000000003,-0.0002145824500289787,0.00006153052120339015
2.04,-0.138,-0.0003240816300015257,0.000027555581949110726
2.04,-0.12880000000000003,-0.0004353634592290167,-0.00007356503648571335
2.04,-0.11960000000000004,-0.0005634185388103166,-0.00020521230288130337
2.04,-0.11040000000000003,-0.0006174896814768275,-0.0003738383980260002
2.04,-0.10120000000000001,-0.0005505537792560484,-0.0004919795475137988
2.04,-0.09200000000000003,-0.00042779220775282175,-0.0006265064001029571
2.04,-0.08280000000000004,-0.00018568094419023503,-0.0006847897197341845
2.04,-0.07360000000000003,0.00009747790652776208,-0.0005947000977257065
2.04,-0.06440000000000001,0.00027142885234140133,-0.00039858406597056755
2.04,-0.05520000000000003,0.0003566985143798709,-0.0001658402236949559
2.04,-0.04600000000000004,0.00030737218041878016,0.000034290560590413966
2.04,-0.03680000000000003,0.0001699223765237697,0.00017544662291567268
2.04,-0.027600000000000013,-0.00011732223431775682,0.0001669280037132457
2.04,-0.018400000000000027,-0.00041978686469156055,-0.00005073800544394138
