"Layer","ky(2π/a)","Frequency(GHz)","Abs[R]","Arg[R]"
1,-0.5,8.,0.3454257995575895,-3.1414720509894147
1,-0.5,8.05,0.2089438728462742,-3.141361181043077
1,-0.5,8.1,0.004049691346263317,-3.127060820929939
1,-0.5,8.15,0.3474945236978563,-0.00022399555620095224
1,-0.5,8.200000000000001,1.1160247864630963,-0.00010901326507956584
1,-0.5,8.25,4.292768067343029,-0.00007728317927830891
1,-0.5,8.3,9.550472086760946,3.1415643949638743
1,-0.5,8.35,3.192859530264368,3.1415621047428295
1,-0.5,8.4,2.1845751390144494,3.1415667511583645
1,-0.5,8.450000000000001,1.7653993330122224,3.1415690602289645
1,-0.5,8.5,1.5300798152384076,3.1415684036361
1,-0.5,8.55,1.3745621637452414,3.1415693052731917
1,-0.5,8.600000000000001,1.2590991374788563,-3.1415706247421062
1,-0.5,8.65,1.1629212475486035,-3.1411502922114263
1,-0.5,8.700000000000001,1.0588851330526838,-3.137385347885104
1,-0.5,8.75,1.0235069794583718,-2.937267966160993
1,-0.5,8.8,0.9844043061669326,-2.7177789492233915
1,-0.5,8.850000000000001,0.9541549234794107,-2.6788476262017595
1,-0.5,8.9,0.9824016714155163,-2.610290299058613
1,-0.5,8.950000000000001,1.0021941932579734,-2.5158001927015845
1,-0.5,9.,0.995015269732078,-2.4199385895141123
1,-0.5,9.05,0.972982678674189,-2.346322022712068
1,-0.5,9.100000000000001,0.9580001189979049,-2.2926655774009777
1,-0.5,9.15,0.9552805174397728,-2.2442515831491563
1,-0.5,9.200000000000001,0.9597487155500652,-2.1923036741531647
1,-0.5,9.25,0.9653567040218864,-2.134975611808712
1,-0.5,9.3,0.9680014152882216,-2.074129892462072
1,-0.5,9.350000000000001,0.966175786800725,-2.012958961727117
1,-0.5,9.4,0.9606970183153479,-1.9542195137502973
1,-0.5,9.450000000000001,0.9536092024514026,-1.8991614217440667
1,-0.5,9.5,0.9468852755218026,-1.8474428772861213
1,-0.5,9.55,0.941653328460108,-1.7977690666810981
1,-0.5,9.600000000000001,0.9380944136919268,-1.7486646508949826
1,-0.5,9.65,0.935725699123413,-1.6989913900686742
1,-0.5,9.700000000000001,0.9337691572331996,-1.6481446784128042
1,-0.5,9.75,0.931454399313246,-1.5960222476617205
1,-0.5,9.8,0.928211545392536,-1.54287440735169
1,-0.5,9.850000000000001,0.9237530671126348,-1.489116133597919
1,-0.5,9.9,0.9180605154345763,-1.4351552051268426
1,-0.5,9.950000000000001,0.9113053385117417,-1.381270884392624
1,-0.5,10.,0.9037417568088796,-1.3275579406792513
1,-0.5,10.05,0.8956073447666673,-1.2739311677107739
1,-0.5,10.100000000000001,0.8870544261768835,-1.2201719828951332
1,-0.5,10.15,0.8781197127954707,-1.1659937818761343
1,-0.5,10.200000000000001,0.8687275775523648,-1.1111058919350971
1,-0.5,10.25,0.8587163000665586,-1.055262599685806
1,-0.5,10.3,0.8478754083000639,-0.9982911395234623
1,-0.5,10.350000000000001,0.835983763598313,-0.940098363225887
1,-0.5,10.4,0.8228407130180179,-0.8806599265916073
1,-0.5,10.450000000000001,0.8082857427914957,-0.8199979652824607
1,-0.5,10.5,0.7922052253046555,-0.7581542373479984
1,-0.5,10.55,0.774527763220919,-0.6951649213692193
1,-0.5,10.600000000000001,0.7552117908242694,-0.6310418737167981
1,-0.5,10.65,0.7342301178785844,-0.5657628801890812
1,-0.5,10.700000000000001,0.7115559261224658,-0.4992711407908915
1,-0.5,10.75,0.6871535832694173,-0.43148240429044527
1,-0.5,10.8,0.660976042682335,-0.3622968748555086
1,-0.5,10.850000000000001,0.632968946315694,-0.2916124632912103
1,-0.5,10.9,0.6030801679710583,-0.21933593969396256
1,-0.5,10.950000000000001,0.5712726083053519,-0.1453888679199831
1,-0.5,11.,0.5375375912436264,-0.06970570806333279
1,-0.5,11.05,0.5019062810923968,0.007778127879353557
1,-0.5,11.100000000000001,0.4644570884376726,0.0871506139271544
1,-0.5,11.15,0.42531802219045456,0.16856337904949525
1,-0.5,11.200000000000001,0.3846641561154353,0.25229518932889977
1,-0.5,11.25,0.34271158282147396,0.3388552749433662
1,-0.5,11.3,0.2997103501716282,0.42916519068189873
1,-0.5,11.350000000000001,0.2559400437602526,0.5249142368877782
1,-0.5,11.4,0.2117142413726578,0.6293416594806386
1,-0.5,11.450000000000001,0.16740891553319376,0.7492146752309833
1,-0.5,11.5,0.1235679084552296,0.9008104160309977
1,-0.5,11.55,0.08134919175996772,1.133108617279154
1,-0.5,11.600000000000001,0.04528160774530869,1.6464566629809188
1,-0.5,11.65,0.03828793543663591,2.8220502880684437
1,-0.5,11.700000000000001,0.06849233533761279,-2.770030263813089
1,-0.5,11.75,0.10719590010816644,-2.494007099552116
1,-0.5,11.8,0.14689948604402944,-2.3306466440431226
1,-0.5,11.850000000000001,0.18609937667816087,-2.2088806396482084
1,-0.5,11.9,0.22428383133877483,-2.1069615494529756
1,-0.5,11.950000000000001,0.261209735653172,-2.016272006799776
1,-0.5,12.,0.29674180527859567,-1.9327560930507117
1,-0.49,8.,0.5261348372803306,-3.1415276163386783
1,-0.49,8.05,0.42797800994910945,-3.1415003818719645
1,-0.49,8.1,0.28140116737497733,-3.141422011701628
1,-0.49,8.15,0.02819574435974337,-3.139313434402799
1,-0.49,8.200000000000001,0.5456349127392784,-0.00019509290378792618
1,-0.49,8.25,3.3944167098339593,-0.00010932742434492479
