"k","fa/c"
1.68,0.7934634116033794
1.68,0.8876046898152486
1.68,1.0235097860145856
1.7,0.10094316858082193
1.7,0.5410007295231919
1.7,0.617376156214039
1.7,0.7935296112813249
1.7,0.8875389003625243
1.7,1.028317968296159
1.72,0.09439316500974389
1.72,0.5438741815135079
1.72,0.6150275142203777
1.72,0.7936105624571578
1.72,0.8874390980254309
1.72,1.0330790920346131
1.74,0.08780457034151866
1.74,0.5467187525363613
1.74,0.6126721459398002
1.74,0.7937031491596578
1.74,0.8873123848849134
1.74,1.0377662992271315
1.76,0.08118067824123074
1.76,0.5495342760995532
1.76,0.610310048077037
1.76,0.7938042760765835
1.76,0.8871655114015556
1.76,1.0423501519922456
1.78,0.07452465170848942
1.78,0.552320797595904
1.78,0.6079410347807046
1.78,0.7939108917479384
1.78,0.8870048683453943
1.78,1.0467983139076098
1.8,0.06783953768428691
1.8,0.5550785553032777
1.8,0.6055647524579778
1.8,0.794020015004025
1.8,0.8868364739355521
1.8,1.0510753215469566
1.82,0.06112828044806759
1.82,0.5578079620528849
1.82,0.60318069445682
1.82,0.7941287643139398
1.82,0.8866659561279636
1.82,1.0551425183674805
1.84,0.05439373394979674
1.84,0.5605095873719164
1.84,0.600788215717165
1.84,0.7942343895291003
1.84,0.8864985304775168
1.84,1.0589581887746673
1.86,0.047638673219970874
1.86,0.5631841398472399
1.86,0.5983865475778998
1.86,0.7943343053263652
1.86,0.8863389743730342
1.86,1.0624780794071942
1.8800000000000001,0.040865804981599085
1.8800000000000001,0.5658324492751763
1.8800000000000001,0.5959748131295268
1.8800000000000001,0.7944261254883223
1.8800000000000001,0.8861915987110879
1.8800000000000001,1.065656250792021
1.9000000000000001,0.03407777757884846
1.9000000000000001,0.5684554476176716
1.9000000000000001,0.5935520440641096
1.9000000000000001,0.794507697015566
1.9000000000000001,0.8860602182695291
1.9000000000000001,1.0684463993359135
1.92,0.027277190332250723
1.92,0.5710541459757096
1.92,0.591117201796664
1.92,0.7945771329617051
1.92,0.8859481221535476
1.92,1.0708036055384864
1.94,0.020466602398753465
1.94,0.5736295975100019
1.94,0.5886692129223785
1.94,0.7946328428285233
1.94,0.8858580457267011
1.94,1.0726864403562193
1.96,0.013648541289543292
1.96,0.5761827961637248
1.96,0.5862070691557523
1.96,0.7946735593677675
