"k","fa/c"
1,0.2651243786119441
1,0.4674259519165216
1,0.6956550970462694
1,0.8106810701490036
1,0.8855113905613
1,0.9819695116943503
1.01,0.26507260639246294
1.01,0.4674613095236175
1.01,0.6956312280839563
1.01,0.810693861766908
1.01,0.8855329229522299
1.01,0.9819758690399216
1.02,0.2649174141289119
1.02,0.4675672552240932
1.02,0.6955596964909365
1.02,0.810732183287684
1.02,0.8855974993437286
1.02,0.981994912060594
1.03,0.2646591689374452
1.03,0.4677434281597564
1.03,0.695440720597498
1.03,0.8107958149788863
1.03,0.8857050535019156
1.03,0.9820266788082157
1.04,0.2642984774756443
1.04,0.46798923210493165
1.04,0.695274661354679
1.04,0.8108843943962315
1.04,0.8858554739072741
1.04,0.9820712330253442
1.05,0.2638361783070736
1.05,0.46830384310415596
1.05,0.6950620180147317
1.05,0.8109974219759064
1.05,0.8860486020331912
1.05,0.9821286646541563
1.06,0.26327333153140253
1.06,0.4686862198451931
1.06,0.6948034222515443
1.06,0.8111342686505274
1.06,0.8862842299830292
1.06,0.9821990905474232
1.07,0.26261120597939375
1.07,0.46913511646799655
1.07,0.694499630878854
1.07,0.8112941852866148
1.07,0.8865620975318488
1.07,0.9822826553799897
1.08,0.2618512643301372
1.08,0.46964909745225303
1.08,0.6941515173556957
1.08,0.8114763136987574
1.08,0.8868818886306888
1.08,0.9823795327583772
1.09,0.26099514654862466
1.09,0.4702265541853581
1.09,0.6937600622915715
1.09,0.8116796989629731
1.09,0.8872432274419685
1.09,0.9824899265252963
1.1,0.2600446520641518
1.1,0.47086572279021816
1.1,0.6933263431775673
1.1,0.8119033027298034
1.1,0.8876456739839239
1.1,0.9826140722545966
1.11,0.25900172111442227
1.11,0.4715647027879808
1.11,0.6928515235743863
1.11,0.8121460172266399
1.11,0.8880887194698988
1.11,0.98275223893069
1.12,0.2578684156683628
1.12,0.47232147618263076
1.12,0.6923368419843211
1.12,0.8124066796383792
1.12,0.888571781434436
1.12,0.9829047308046307
1.13,0.25664690031426174
1.13,0.4731339265806659
1.13,0.6917836006228469
