"Frequency(GHz)","kx(2π/a)","kx(2π/a)","Abs[Ez]","Arg[Ez]"
10.,-1.,-1.,0.000022021936886076936,2.6191697894904613
10.,-1.,-0.9666666666666668,0.00002895676439913111,2.7735931543611354
10.,-1.,-0.9333333333333332,0.000028943374639328695,-3.02400088352806
10.,-1.,-0.8999999999999999,0.000026265192976561434,-2.5538938409483958
10.,-1.,-0.8666666666666667,0.00001588153166546628,-2.201345681454277
10.,-1.,-0.8333333333333335,5.610282411009111e-6,1.325466381069239
10.,-1.,-0.8,0.00002024864286021049,1.1508977931149913
10.,-1.,-0.7666666666666666,0.000013278127699960602,-0.047078949563346253
10.,-1.,-0.7333333333333334,0.00003868542005019068,-0.7786116571787557
10.,-1.,-0.7,0.00005395971794885731,-1.0891074973722945
10.,-1.,-0.6666666666666669,0.000038758186098774016,-2.169098882270748
10.,-1.,-0.6333333333333335,0.00001796119685117423,-2.8930946185576514
10.,-1.,-0.6000000000000001,0.000013743104385745982,0.046361266905179006
10.,-1.,-0.5666666666666668,0.0001129506860689933,-0.9289037890300776
10.,-1.,-0.5333333333333332,0.0002929891026531271,-0.33097205198841756
10.,-1.,-0.5,0.00039358656972408835,0.25600565527130453
10.,-1.,-0.4666666666666668,0.00033174634950074145,0.37321512476228685
10.,-1.,-0.43333333333333335,0.00024420750345662245,0.19916010930137135
10.,-1.,-0.39999999999999997,0.00011868383565565358,0.5857907916576409
10.,-1.,-0.3666666666666667,0.00006657853685172044,3.0148611508456424
10.,-1.,-0.3333333333333334,0.00014835087924310324,-1.815295328617637
10.,-1.,-0.3000000000000001,0.00014912559130596072,-1.1190346708503263
10.,-1.,-0.2666666666666667,8.840941954996655e-6,0.7332327363980023
10.,-1.,-0.23333333333333323,0.000055967322509476815,0.2252934944404186
10.,-1.,-0.19999999999999998,0.00018309222656486877,0.02996141534691177
10.,-1.,-0.1666666666666668,0.00020511064008147103,0.4613397929812925
10.,-1.,-0.13333333333333347,0.0002212726803772652,0.8229762529769981
10.,-1.,-0.09999999999999999,0.0001832758870037158,1.316226334929878
